# GCSE mathematics subject-content reference

This maps the numbered statements in the Department for Education's GCSE
mathematics subject content to this project's local labels. The DfE numbers each
domain separately; prefixes such as `N`, `A` and `G` are local identifiers, not
codes printed by the DfE.

Official source (DFE-00233-2013):
https://www.gov.uk/government/publications/gcse-mathematics-subject-content-and-assessment-objectives

These are concise summaries preserving the official numbering. Consult the
source for exact wording and its type-based Foundation/Higher distinctions.

## Number (N1 to N16)

| Code | DfE subject-content statement (concise summary) |
|---|---|
| N1 | Order positive and negative integers, decimals and fractions; use $=, \neq, <, >, \leq, \geq$. |
| N2 | Apply the four operations, including formal written methods, to positive and negative integers, decimals, fractions and mixed numbers; understand place value. |
| N3 | Recognise relationships between operations, including inverses and conventional priority-of-operations notation. |
| N4 | Use prime-number, factor, multiple, HCF, LCM and prime-factorisation concepts, including product notation and unique factorisation. |
| N5 | Apply systematic listing strategies, including the product rule for counting. |
| N6 | Use positive integer powers and associated real roots; recognise powers of 2, 3, 4 and 5; estimate powers and roots. |
| N7 | Calculate with roots and with integer and fractional indices. |
| N8 | Calculate exactly with fractions, surds and multiples of $\pi$; simplify surds and rationalise denominators. |
| N9 | Calculate with and interpret standard form $A \times 10^n$, where $1 \leq A < 10$ and $n$ is an integer. |
| N10 | Convert between terminating decimals and fractions, and between recurring decimals and fractions. |
| N11 | Identify and work with fractions in ratio problems. |
| N12 | Interpret fractions and percentages as operators. |
| N13 | Use standard units of mass, length, time, money and other measures, including compound measures and decimal quantities. |
| N14 | Estimate answers and check calculations using approximation and estimation, including technology-produced answers. |
| N15 | Round numbers and measures appropriately; use inequality notation for simple error intervals caused by rounding or truncation. |
| N16 | Apply and interpret limits of accuracy, including upper and lower bounds. |

## Algebra (A1 to A25)

| Code | DfE subject-content statement (concise summary) |
|---|---|
| A1 | Use and interpret algebraic notation, including products, powers, quotients, fractional coefficients and brackets. |
| A2 | Substitute numerical values into expressions and formulae, including scientific formulae. |
| A3 | Understand and use the vocabulary of expressions, equations, formulae, identities, inequalities, terms and factors. |
| A4 | Simplify and manipulate algebraic expressions, including surds and algebraic fractions, by collecting, expanding, factorising and applying index laws. |
